Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,42,10080,44.5,89.4,.498,16.1,40.7,.396,28.4,48.7,.583,16.6,21.2,.783,10.0,34.0,44.1,29.0,8.4,4.5,13.0,18.0,121.8
2,New York Knicks,45,10850,44.6,90.4,.494,13.5,35.8,.375,31.2,54.5,.572,17.5,21.7,.805,10.9,33.6,44.5,28.0,7.9,3.9,13.6,17.7,120.2
3,Boston Celtics,43,10420,42.5,92.7,.459,18.2,50.0,.363,24.4,42.7,.570,16.8,21.2,.794,11.4,34.8,46.2,26.0,7.8,5.9,12.1,16.4,120.0
4,Denver Nuggets,43,10420,44.5,88.3,.504,11.8,30.5,.386,32.7,57.8,.566,18.3,23.8,.769,10.8,34.2,45.1,30.6,8.3,4.7,14.2,17.5,119.0
5,Memphis Grizzlies,43,10320,43.0,88.8,.484,13.4,36.1,.370,29.6,52.7,.563,18.1,23.5,.769,12.3,33.5,45.8,28.1,8.9,5.7,16.0,20.3,117.4
6,Oklahoma City Thunder,42,10080,43.6,92.0,.474,13.9,38.7,.358,29.7,53.3,.558,15.7,19.0,.825,10.1,33.7,43.8,26.3,11.4,5.8,12.1,20.4,116.8
7,Sacramento Kings,42,10205,43.0,90.6,.475,12.5,35.9,.349,30.5,54.7,.557,17.6,21.7,.809,10.7,33.8,44.6,26.4,8.1,4.7,13.1,19.6,116.0
8,Dallas Mavericks,43,10345,42.2,88.6,.476,13.2,35.7,.368,29.1,52.9,.549,18.3,23.7,.773,11.0,33.9,45.0,25.2,8.4,5.9,14.4,19.0,115.9
9,Phoenix Suns,42,10130,41.3,87.0,.475,14.1,37.5,.377,27.2,49.5,.549,18.4,23.1,.796,9.3,33.9,43.3,27.9,7.8,5.1,14.2,18.7,115.2
10,Indiana Pacers,43,10370,43.1,88.1,.490,12.6,33.8,.373,30.5,54.3,.562,16.4,21.3,.771,8.9,33.0,41.9,28.4,8.2,5.2,13.9,19.4,115.2
11,Milwaukee Bucks,41,9865,41.9,86.7,.483,14.3,36.8,.388,27.6,49.9,.553,16.3,22.3,.733,8.5,35.8,44.3,25.0,7.6,5.2,14.1,18.6,114.3
12,Houston Rockets,42,10155,42.2,94.3,.448,12.2,36.2,.338,30.0,58.1,.516,17.6,23.3,.756,14.7,33.9,48.5,22.4,9.3,5.2,13.7,19.6,114.3
13,Los Angeles Lakers,41,9865,41.5,87.5,.474,12.2,34.6,.352,29.3,52.9,.553,18.6,23.6,.787,9.4,32.5,41.9,27.0,7.8,5.1,13.7,16.4,113.7
14,Miami Heat,42,10205,40.6,88.7,.458,14.5,39.3,.370,26.1,49.3,.528,17.5,22.1,.792,9.6,34.8,44.4,26.8,8.6,3.9,13.7,16.1,113.2
15,Minnesota Timberwolves,43,10370,40.4,88.0,.459,15.7,40.9,.383,24.7,47.0,.526,16.5,21.1,.779,10.8,34.3,45.1,25.5,8.0,4.9,16.0,18.6,112.9
16,Chicago Bulls,44,10585,41.6,88.9,.468,15.3,41.4,.371,26.3,47.6,.553,14.3,17.9,.798,9.4,34.7,44.1,28.1,7.3,4.6,14.5,17.4,112.9
17,Atlanta Hawks,42,10155,41.1,88.7,.463,12.5,35.5,.353,28.5,53.2,.536,17.9,22.9,.781,11.9,32.0,43.9,28.3,9.9,5.2,15.5,17.8,112.6
18,San Antonio Spurs,41,9890,40.7,89.4,.455,13.9,40.2,.344,26.9,49.2,.546,17.2,21.7,.792,11.1,34.7,45.8,28.7,7.4,7.0,14.5,16.2,112.5
19,Detroit Pistons,43,10420,41.7,89.2,.467,13.4,36.8,.364,28.3,52.4,.540,15.6,20.2,.770,11.3,33.8,45.1,25.6,7.3,5.1,15.9,20.3,112.4
20,Utah Jazz,41,9890,39.9,87.5,.456,13.9,39.0,.358,26.0,48.5,.536,18.1,22.9,.791,12.1,33.5,45.6,25.1,6.9,5.0,17.8,18.9,111.9
