Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Shai Gilgeous-Alexander,26,OKC,PG,44,44,34.4,11.3,21.4,.528,2.0,5.7,.351,9.3,15.7,.592,.574,7.5,8.3,.906,0.9,4.4,5.3,6.0,2.1,1.1,2.7,2.2,32.1,,gilgesh01
2,Giannis Antetokounmpo,30,MIL,PF,38,38,34.8,12.6,20.8,.605,0.1,0.7,.143,12.4,20.0,.622,.607,6.3,10.8,.585,2.2,10.0,12.2,5.9,0.8,1.4,3.4,2.4,31.5,,antetgi01
3,Nikola Jokić,29,DEN,C,40,40,36.4,11.5,20.1,.570,2.0,4.3,.474,9.4,15.8,.597,.621,5.1,6.3,.812,3.3,9.8,13.1,10.2,1.8,0.7,3.1,2.0,30.0,,jokicni01
4,LaMelo Ball,23,CHO,PG,31,31,33.3,9.7,23.3,.419,4.1,12.3,.337,5.6,11.0,.510,.508,4.5,5.5,.820,1.0,4.3,5.3,7.3,1.4,0.3,3.7,3.5,28.2,,ballla01
5,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,,doncilu01
6,Kevin Durant,36,PHO,PF,35,35,36.1,9.8,18.7,.523,2.3,5.7,.398,7.5,13.0,.578,.584,5.2,6.3,.832,0.5,5.9,6.4,4.1,0.8,1.3,3.1,1.7,27.1,,duranke01
7,Jayson Tatum,26,BOS,PF,44,44,36.4,9.0,19.9,.453,3.6,10.2,.350,5.5,9.8,.559,.542,5.3,6.6,.801,0.6,8.4,9.0,5.5,1.3,0.5,2.8,2.3,26.9,,tatumja01
8,Tyrese Maxey,24,PHI,PG,37,37,37.9,9.2,21.4,.432,3.3,9.6,.339,5.9,11.7,.508,.508,4.9,5.7,.863,0.2,3.2,3.5,6.0,2.0,0.4,2.4,2.2,26.6,,maxeyty01
9,Anthony Davis,31,LAL,C,41,41,34.9,9.7,18.4,.527,0.7,2.3,.298,9.0,16.1,.560,.546,6.2,7.8,.788,2.9,9.3,12.1,3.4,1.3,2.2,2.2,2.0,26.3,,davisan02
10,Anthony Edwards,23,MIN,SG,46,46,36.6,9.0,20.3,.442,4.1,9.8,.419,4.8,10.5,.463,.543,4.2,5.1,.826,0.8,4.9,5.7,4.4,1.2,0.5,3.3,1.9,26.3,,edwaran01
11,Jalen Brunson,28,NYK,PG,46,46,35.1,8.9,18.3,.488,2.4,5.9,.403,6.5,12.3,.529,.554,5.6,6.9,.813,0.4,2.4,2.9,7.4,0.9,0.0,2.3,2.2,25.8,,brunsja01
12,Devin Booker,28,PHO,SG,40,40,36.9,8.3,18.9,.441,2.7,7.8,.342,5.7,11.1,.511,.512,6.2,6.9,.895,1.0,3.0,4.0,6.7,1.2,0.3,2.4,2.3,25.5,,bookede01
13,Damian Lillard,34,MIL,PG,37,37,36.3,7.9,17.4,.453,3.5,9.0,.383,4.4,8.3,.529,.553,6.3,6.8,.921,0.5,4.2,4.7,7.3,1.2,0.2,2.9,1.8,25.5,,lillada01
14,De'Aaron Fox,27,SAC,PG,43,43,37.2,9.3,19.8,.468,2.0,6.3,.324,7.2,13.5,.536,.520,4.6,5.6,.826,1.0,3.9,5.0,6.2,1.5,0.5,3.0,2.7,25.2,,foxde01
15,Karl-Anthony Towns,29,NYK,C,42,42,34.6,9.0,16.6,.540,2.0,4.7,.432,6.9,11.8,.584,.602,4.9,5.9,.841,3.1,10.7,13.8,3.4,1.0,0.8,2.6,3.4,24.9,,townska01
16,Cade Cunningham,23,DET,PG,42,42,35.6,9.3,20.6,.452,2.3,6.4,.363,7.0,14.3,.492,.508,3.8,4.6,.825,0.9,5.5,6.4,9.4,0.9,0.8,4.6,2.7,24.8,,cunnica01
17,Cam Thomas,23,BRK,SG,19,17,32.3,7.9,17.7,.448,2.8,7.6,.375,5.1,10.2,.503,.528,5.9,6.8,.876,0.5,3.1,3.6,3.4,0.7,0.1,2.7,1.9,24.7,,thomaca02
18,Franz Wagner,23,ORL,SF,28,28,33.0,8.9,19.3,.462,2.0,6.4,.317,6.9,12.8,.535,.515,4.9,5.6,.872,0.9,4.7,5.6,5.4,1.5,0.5,2.5,2.3,24.7,,wagnefr01
19,Victor Wembanyama,21,SAS,C,38,38,33.2,9.0,18.9,.476,3.2,9.1,.353,5.8,9.8,.591,.561,3.3,3.9,.844,1.7,9.1,10.8,3.7,1.1,3.9,3.5,2.1,24.5,,wembavi01
20,Joel Embiid,30,PHI,C,13,13,29.5,7.6,16.8,.452,1.2,3.8,.327,6.4,13.1,.488,.489,7.9,8.6,.920,1.7,6.2,7.9,3.8,0.8,1.0,3.2,2.2,24.4,,embiijo01
21,Tyler Herro,25,MIA,SG,44,44,35.5,8.4,17.6,.474,3.9,9.7,.400,4.5,7.9,.564,.584,3.5,4.0,.871,0.3,5.3,5.6,5.4,0.7,0.1,2.5,1.4,24.1,,herroty01
22,Kyrie Irving,32,DAL,SG,37,37,35.8,8.9,18.4,.482,2.9,7.0,.422,5.9,11.4,.519,.563,3.5,3.8,.901,1.0,3.5,4.5,4.9,1.2,0.4,2.3,2.2,24.1,,irvinky01
23,Zach LaVine,29,CHI,SF,42,42,34.1,8.6,16.9,.511,3.2,7.3,.446,5.4,9.6,.560,.607,3.5,4.3,.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24.0,,lavinza01
24,Paolo Banchero,22,ORL,PF,14,14,33.6,8.1,18.4,.438,1.9,5.6,.346,6.1,12.9,.478,.490,5.9,9.1,.646,1.4,6.5,7.9,4.9,0.6,0.8,3.4,2.2,23.9,,banchpa01
25,Norman Powell,31,LAC,SG,38,38,33.1,8.3,16.9,.491,3.4,7.9,.434,4.8,8.9,.543,.594,3.9,4.6,.841,0.4,3.2,3.5,2.2,1.4,0.2,2.1,1.9,23.9,,powelno01
26,Donovan Mitchell,28,CLE,SG,44,44,31.4,8.3,18.6,.444,3.7,9.2,.397,4.6,9.4,.492,.543,3.5,4.2,.832,0.7,3.7,4.4,4.6,1.4,0.2,2.0,2.0,23.7,,mitchdo01
27,LeBron James,40,LAL,SF,41,41,34.9,9.2,18.0,.510,2.1,5.5,.383,7.1,12.5,.566,.569,3.1,4.1,.757,0.9,6.7,7.6,9.0,0.9,0.6,3.8,1.3,23.6,,jamesle01
28,Zion Williamson,24,NOP,PF,12,12,28.5,8.8,17.3,.512,0.2,0.8,.200,8.7,16.4,.528,.517,5.3,8.4,.634,3.1,5.3,8.3,4.8,1.1,1.3,3.4,3.1,23.2,,willizi01
29,Jaylen Brown,28,BOS,SF,40,40,35.5,8.5,18.9,.451,2.0,6.3,.320,6.5,12.7,.516,.504,4.1,5.5,.744,1.5,4.5,6.0,4.8,1.3,0.3,2.7,2.5,23.1,,brownja02
30,Jaren Jackson Jr.,25,MEM,C,45,45,29.5,8.3,16.7,.499,1.8,5.2,.355,6.5,11.5,.565,.555,4.3,5.5,.782,1.5,4.7,6.2,2.1,1.4,1.6,2.2,3.3,22.8,,jacksja02
31,Trae Young,26,ATL,PG,42,42,36.1,7.0,17.3,.401,2.9,8.4,.345,4.0,8.9,.455,.485,6.0,7.0,.853,0.5,2.8,3.4,11.5,1.3,0.2,4.6,2.0,22.8,,youngtr01
32,Stephen Curry,36,GSW,PG,37,37,31.7,7.5,17.0,.443,4.3,10.6,.403,3.2,6.4,.508,.568,3.0,3.2,.933,0.5,4.2,4.8,6.4,1.1,0.5,3.0,1.2,22.3,,curryst01
33,Brandon Ingram,27,NOP,SF,18,18,33.1,8.6,18.5,.465,2.4,6.4,.374,6.2,12.1,.514,.530,2.6,3.1,.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,,ingrabr01
34,RJ Barrett,24,TOR,SF,38,38,33.5,8.2,17.4,.470,1.9,5.3,.350,6.3,12.1,.524,.524,3.7,5.6,.670,1.0,5.7,6.7,5.8,0.8,0.3,3.1,2.4,22.0,,barrerj01
35,CJ McCollum,33,NOP,PG,34,34,33.4,8.2,18.3,.449,3.1,8.3,.371,5.1,10.0,.515,.534,2.4,3.4,.701,0.7,3.0,3.7,3.8,0.8,0.6,1.7,2.4,22.0,,mccolcj01
36,DeMar DeRozan,35,SAC,SF,41,41,35.9,8.1,16.6,.487,0.9,2.6,.324,7.2,14.0,.517,.513,4.7,5.4,.864,0.5,3.3,3.8,3.6,1.2,0.4,1.4,2.0,21.7,,derozde01
37,Darius Garland,25,CLE,PG,45,45,30.4,7.8,15.6,.499,3.0,7.0,.425,4.8,8.6,.560,.595,3.2,3.6,.883,0.6,2.0,2.5,6.8,1.1,0.2,2.4,2.0,21.7,,garlada01
