,matchId,gameDurationSeconds,championBlueTop,championBlueJG,championBlueMid,championBlueBot,championBlueSup,championRedTop,championRedJG,championRedMid,championRedBot,championRedSup,goldDifference,blueGrubCount,redGrubCount,blueDragonCount,redDragonCount,blueBaronCount,redBaronCount,blueAtakhan,redAtakhan,winner
0,NA1_5242178677,1437,6,64,126,110,888,266,254,31,222,201,-729,2,4,1,3,0,0,0,1,1
0,NA1_5241910659,1809,41,876,711,202,43,10,106,67,42,526,-2900,3,3,0,4,1,0,0,1,1
0,NA1_5241896512,1488,27,106,166,202,201,164,203,893,21,111,-3918,6,0,0,3,0,0,0,1,1
0,NA1_5241251868,1609,126,141,134,92,350,164,106,910,222,78,-3151,3,3,0,4,0,0,0,1,1
0,NA1_5241210985,950,56,234,517,145,350,777,106,112,81,43,-6181,3,3,0,2,0,0,0,0,1
0,NA1_5241099123,1780,126,106,61,22,44,92,163,236,202,526,52,6,0,2,2,1,0,1,0,0
0,NA1_5241059102,1449,799,56,268,81,432,86,106,103,800,235,-1174,2,4,0,3,0,0,0,1,1
0,NA1_5241039930,1577,114,106,105,157,267,24,245,799,42,80,-585,5,1,1,2,0,0,1,0,0
0,NA1_5240996452,1637,27,2,800,498,497,86,254,517,67,37,-2368,3,3,2,2,1,0,0,1,1
0,NA1_5240978553,1758,114,122,711,22,201,2,76,268,110,89,-494,3,3,2,2,0,1,0,1,1
0,NA1_5240961648,1435,106,80,134,81,37,897,76,893,22,111,-4343,0,6,0,3,0,0,0,0,1
0,NA1_5240938796,1513,17,254,42,99,44,2,154,157,18,497,-910,2,4,2,1,0,0,1,0,0
0,NA1_5240780967,1558,154,143,1,42,111,518,106,34,22,412,-1215,2,4,1,2,0,0,0,1,1
0,NA1_5240768902,1359,157,106,112,22,518,64,234,893,202,35,1015,6,0,3,0,0,0,1,0,0
0,NA1_5240743141,1508,67,30,103,42,78,8,106,163,236,98,-764,5,1,2,1,0,0,1,0,0
0,NA1_5240715488,2036,106,141,55,119,40,10,76,246,110,44,1284,3,3,2,3,0,1,0,1,0
0,NA1_5240642133,1870,150,106,112,81,201,39,131,14,523,111,1939,6,0,4,1,0,1,1,0,0
0,NA1_5240621248,972,2,57,85,29,43,236,64,13,222,201,1871,5,1,0,1,0,0,0,0,0
0,NA1_5240552934,1649,27,64,112,42,518,106,5,268,429,37,6474,6,0,2,1,0,0,0,1,0
0,NA1_5240498222,1675,897,106,777,69,267,2,76,134,202,526,-1628,0,6,0,4,0,0,0,0,1
0,NA1_5240465456,911,24,120,84,81,518,92,76,777,22,43,4527,3,3,2,0,0,0,0,0,0
0,NA1_5240346085,1070,34,203,18,143,12,240,30,221,42,526,450,0,6,2,0,0,0,0,0,0
0,NA1_5240098699,1664,31,106,950,99,142,86,200,268,134,78,1341,6,0,3,0,1,0,1,0,0
0,NA1_5240066270,1499,92,33,893,523,117,106,876,950,110,43,1093,3,3,1,0,0,0,0,0,0
0,NA1_5240038372,1579,126,78,517,429,526,6,154,518,523,12,2010,6,0,0,3,0,0,0,1,1
0,NA1_5240004718,2120,81,154,85,92,235,6,120,518,800,12,-2074,4,2,3,0,1,0,1,0,0
0,NA1_5239973912,1952,39,154,68,22,43,887,76,98,523,101,408,6,0,1,3,1,0,0,1,1
0,NA1_5239929397,1369,887,154,166,18,526,114,76,131,10,78,232,5,1,1,1,0,0,1,0,0
0,NA1_5239630261,1769,106,91,112,910,235,24,64,8,15,350,855,3,3,3,1,0,0,1,0,0
0,NA1_5239191299,1505,67,56,518,145,111,236,60,777,18,117,3713,6,0,2,0,0,0,1,0,0
0,NA1_5239161332,1862,516,107,103,51,99,92,60,14,202,267,1701,0,3,3,1,1,0,0,1,0
0,NA1_5239037035,1700,51,33,115,27,111,126,60,20,222,555,-435,6,0,0,4,0,1,0,1,1
