Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Paul Molitor,34,MIL,AL,5.3,158,752,665,133,216,32,13,17,75,19,8,77,62,.325,.399,.489,.888,147,.398,147,325,11,6,0,1,16,*D3,ASMVP-11,molitpa01
2,Brett Butler*,34,LAD,NL,5.1,161,730,615,112,182,13,5,2,38,38,28,108,79,.296,.401,.343,.744,114,.354,123,211,3,1,4,2,4,*8/H,ASMVP-7,butlebr01
3,Harold Reynolds#,30,SEA,AL,2.7,161,728,631,95,160,34,6,3,57,28,8,72,63,.254,.332,.341,.673,87,.330,93,215,11,5,14,6,2,*4/HD,,reynoha01
4,Rubén Sierra#,25,TEX,AL,5.1,161,726,661,110,203,44,5,25,116,16,4,56,91,.307,.357,.502,.859,138,.387,137,332,17,0,0,9,7,*9/8H,ASMVP-8,sierrru01
5,Roberto Alomar#,23,TOR,AL,4.6,161,719,637,88,188,41,11,9,69,53,11,57,86,.295,.354,.436,.791,115,.376,118,278,5,4,16,5,3,*4/H,ASMVP-6GG,alomaro01
6,Cal Ripken Jr.,30,BAL,AL,11.5,162,717,650,99,210,46,5,34,114,6,1,53,46,.323,.374,.566,.940,162,.428,170,368,19,5,0,9,15,*6,ASMVP-1GGSS,ripkeca01
7,Devon White#,28,TOR,AL,6.3,156,715,642,110,181,40,10,17,60,33,10,55,135,.282,.342,.455,.797,116,.368,116,292,7,7,5,6,1,*8,MVP-16GG,whitede03
8,Rafael Palmeiro*,26,TEX,AL,5.8,159,714,631,115,203,49,3,26,88,4,3,68,72,.322,.389,.532,.922,155,.407,154,336,17,6,2,7,10,*3/HD,ASMVP-19,palmera01
9,Cecil Fielder,27,DET,AL,3.8,162,712,624,102,163,25,0,44,133,0,0,78,151,.261,.347,.513,.860,133,.388,136,320,17,6,0,4,12,*3D,ASMVP-2SS,fieldce01
10,Tim Raines#,31,CHW,AL,3.2,155,709,609,102,163,20,6,5,50,51,15,83,68,.268,.359,.345,.703,98,.340,100,210,7,5,9,3,9,*7D/H89,,raineti01
11,Steve Sax,31,NYY,AL,4.2,158,707,652,85,198,38,2,10,56,31,11,41,38,.304,.345,.414,.759,110,.353,111,270,15,3,5,6,2,*4/5DH,,saxst01
