Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Shai Gilgeous-Alexander,26,OKC,PG,46,46,34.4,11.4,21.5,.528,2.0,5.7,.346,9.4,15.8,.593,.574,7.7,8.6,.901,0.9,4.3,5.3,6.0,2.0,1.1,2.7,2.2,32.4,,gilgesh01
2,Giannis Antetokounmpo,30,MIL,PF,41,41,34.9,12.7,20.9,.608,0.1,0.8,.188,12.6,20.1,.624,.611,6.2,10.7,.577,2.3,9.9,12.2,5.9,0.8,1.3,3.4,2.4,31.8,,antetgi01
3,Nikola Jokić,29,DEN,C,43,43,36.4,11.3,19.8,.569,2.0,4.4,.468,9.2,15.4,.597,.620,5.0,6.2,.816,3.2,9.7,12.8,10.3,1.9,0.7,3.2,2.1,29.6,,jokicni01
4,LaMelo Ball,23,CHO,PG,31,31,33.3,9.7,23.3,.419,4.1,12.3,.337,5.6,11.0,.510,.508,4.5,5.5,.820,1.0,4.3,5.3,7.3,1.4,0.3,3.7,3.5,28.2,,ballla01
5,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,,doncilu01
6,Tyrese Maxey,24,PHI,PG,41,41,38.0,9.6,21.6,.442,3.3,9.6,.349,6.2,12.0,.516,.519,5.2,6.0,.873,0.2,3.2,3.4,6.0,1.9,0.4,2.5,2.3,27.7,,maxeyty01
7,Kevin Durant,36,PHO,PF,38,38,35.9,9.8,18.6,.525,2.4,5.8,.405,7.4,12.7,.581,.589,5.0,6.1,.827,0.4,5.7,6.1,4.1,0.8,1.3,3.0,1.7,26.9,,duranke01
8,Jayson Tatum,26,BOS,PF,47,47,36.5,9.0,19.9,.456,3.6,10.0,.356,5.5,9.8,.557,.546,5.2,6.5,.800,0.6,8.3,8.9,5.7,1.2,0.5,2.9,2.3,26.9,,tatumja01
9,Anthony Edwards,23,MIN,SG,48,48,36.7,9.1,20.2,.448,4.1,9.8,.423,4.9,10.5,.471,.550,4.4,5.3,.829,0.8,4.9,5.7,4.5,1.1,0.7,3.4,1.9,26.6,,edwaran01
10,Devin Booker,28,PHO,SG,43,43,36.8,8.5,19.0,.450,2.7,7.8,.344,5.8,11.1,.525,.521,6.2,6.9,.892,1.0,3.1,4.0,6.7,1.1,0.3,2.6,2.3,25.9,,bookede01
11,Jalen Brunson,28,NYK,PG,48,48,35.3,8.9,18.2,.489,2.4,5.9,.402,6.5,12.4,.530,.553,5.6,6.9,.809,0.4,2.5,2.9,7.5,0.9,0.1,2.4,2.2,25.7,,brunsja01
12,Anthony Davis,31,LAL,C,42,42,34.3,9.5,18.0,.528,0.7,2.2,.298,8.9,15.8,.560,.546,6.0,7.6,.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,,davisan02
13,Cade Cunningham,23,DET,PG,45,45,35.6,9.6,20.9,.458,2.3,6.4,.360,7.3,14.6,.500,.512,3.8,4.6,.825,0.9,5.4,6.3,9.4,0.9,0.8,4.5,2.6,25.2,,cunnica01
14,Franz Wagner,23,ORL,SF,30,30,33.0,8.8,19.2,.459,2.0,6.5,.311,6.8,12.7,.535,.512,5.4,6.1,.875,0.9,4.6,5.5,5.2,1.5,0.5,2.4,2.4,25.1,,wagnefr01
15,De'Aaron Fox,27,SAC,PG,45,45,37.0,9.2,19.6,.469,2.0,6.4,.322,7.2,13.3,.539,.521,4.5,5.5,.829,1.0,4.0,5.0,6.1,1.5,0.4,3.0,2.6,25.0,,foxde01
16,Damian Lillard,34,MIL,PG,40,40,36.5,7.7,17.3,.446,3.4,8.9,.380,4.3,8.4,.515,.543,6.2,6.8,.922,0.5,4.1,4.6,7.3,1.2,0.2,2.8,1.8,25.0,,lillada01
17,Cam Thomas,23,BRK,SG,19,17,32.3,7.9,17.7,.448,2.8,7.6,.375,5.1,10.2,.503,.528,5.9,6.8,.876,0.5,3.1,3.6,3.4,0.7,0.1,2.7,1.9,24.7,,thomaca02
18,Victor Wembanyama,21,SAS,C,40,40,33.2,9.0,18.9,.476,3.3,9.1,.358,5.7,9.8,.586,.562,3.4,4.0,.849,1.7,9.2,10.9,3.7,1.1,4.0,3.4,2.2,24.6,,wembavi01
19,Joel Embiid,30,PHI,C,13,13,29.5,7.6,16.8,.452,1.2,3.8,.327,6.4,13.1,.488,.489,7.9,8.6,.920,1.7,6.2,7.9,3.8,0.8,1.0,3.2,2.2,24.4,,embiijo01
20,Kyrie Irving,32,DAL,SG,39,39,35.9,8.9,18.6,.479,2.9,7.1,.415,5.9,11.5,.519,.559,3.5,3.9,.901,1.1,3.6,4.6,4.8,1.2,0.3,2.3,2.1,24.3,,irvinky01
21,Karl-Anthony Towns,29,NYK,C,44,44,34.5,8.8,16.4,.535,2.0,4.7,.424,6.8,11.7,.579,.595,4.8,5.8,.842,3.1,10.5,13.6,3.4,1.0,0.8,2.5,3.5,24.3,,townska01
22,Norman Powell,31,LAC,SG,40,40,33.3,8.4,16.8,.499,3.4,7.8,.436,5.0,9.0,.554,.601,3.9,4.7,.831,0.4,3.3,3.6,2.2,1.4,0.2,2.1,2.0,24.1,,powelno01
23,LeBron James,40,LAL,SF,44,44,34.7,9.3,18.2,.513,2.1,5.5,.379,7.2,12.7,.571,.570,3.3,4.3,.767,0.9,6.7,7.6,9.1,0.8,0.5,3.8,1.3,24.0,,jamesle01
24,Zach LaVine,29,CHI,SF,42,42,34.1,8.6,16.9,.511,3.2,7.3,.446,5.4,9.6,.560,.607,3.5,4.3,.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24.0,,lavinza01
25,Tyler Herro,25,MIA,SG,46,46,35.5,8.3,17.6,.470,3.8,9.7,.394,4.5,8.0,.561,.578,3.4,4.0,.859,0.3,5.2,5.5,5.4,0.7,0.1,2.5,1.3,23.8,,herroty01
26,Donovan Mitchell,28,CLE,SG,47,47,31.1,8.3,18.4,.450,3.7,9.2,.398,4.6,9.3,.501,.549,3.4,4.1,.834,0.7,3.6,4.3,4.7,1.4,0.2,1.9,2.0,23.7,,mitchdo01
27,Zion Williamson,24,NOP,PF,13,13,28.5,9.0,17.3,.520,0.2,0.8,.182,8.8,16.5,.537,.524,5.5,8.5,.645,3.2,5.0,8.2,5.0,1.2,1.2,3.3,2.9,23.6,,willizi01
28,Jaylen Brown,28,BOS,SF,43,43,35.6,8.6,18.8,.459,2.0,6.2,.321,6.6,12.6,.527,.512,4.0,5.5,.737,1.5,4.6,6.1,4.8,1.2,0.3,2.6,2.6,23.3,,brownja02
29,Jaren Jackson Jr.,25,MEM,C,47,47,29.6,8.4,16.9,.497,1.9,5.3,.363,6.4,11.5,.560,.555,4.4,5.6,.777,1.4,4.7,6.1,2.1,1.3,1.6,2.2,3.4,23.1,,jacksja02
